»ç¾÷Àå¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,Æó¾÷ÀÏÀÚ,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,µµ·Î¸íÀüÃ¼ÁÖ¼Ò,ÁÖ¼Ò,"Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿©ºÎ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼ÒÀÏÀÚ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿¬µµ",ÀÎÇã°¡¿¬µµ
½ºÆÄÀÎ·¦,2020-10-30,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹®Á¤µ¿ 652 ¼ÛÆÄ¹ýÁ¶Å¸¿îÇª¸£Áö¿À,"¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹ý¿ø·Î4±æ 5, ¼ÛÆÄ¹ýÁ¶Å¸¿îÇª¸£Áö¿À (¹®Á¤µ¿)","¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹ý¿ø·Î4±æ 5, ¼ÛÆÄ¹ýÁ¶Å¸¿îÇª¸£Áö¿À (¹®Á¤µ¿)",0,,,2020
³»¼Å³ÎÁü,2020-10-27,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ¿øÈ¿·Î1°¡ 133-3 ¸®Ã¾½Ã¾Æ ¿ë»ê,"¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ¹é¹ü·Î 341, Aµ¿ 302È£ (¿øÈ¿·Î1°¡, ¸®Ã¾½Ã¾Æ ¿ë»ê)","¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ¹é¹ü·Î 341, Aµ¿ 302È£ (¿øÈ¿·Î1°¡, ¸®Ã¾½Ã¾Æ ¿ë»ê)",0,,,2020
3YÁü,2020-11-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ºÏ°¡ÁÂµ¿ 292-1,"¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ÀÀ¾Ï·Î 108, ÁöÇÏ1Ãþ (ºÏ°¡ÁÂµ¿)","¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ÀÀ¾Ï·Î 108, ÁöÇÏ1Ãþ (ºÏ°¡ÁÂµ¿)",0,,,2020
Ã»´ãÇÇÆ®´Ï½º,2020-11-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ Ã»´ãµ¿ 71-25 ¼ºÈ£ºôµù,"¼­¿ïÆ¯º°½Ã °­³²±¸ ÇÐµ¿·Î97±æ 20, ¼ºÈ£ºôµù ÁöÇÏ1Ãþ (Ã»´ãµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ÇÐµ¿·Î97±æ 20, ¼ºÈ£ºôµù ÁöÇÏ1Ãþ (Ã»´ãµ¿)",0,,,2020
Çã´ÏÁü,2020-11-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¼­±³µ¿ 398-5 »ó»óÇÏ´Â »ç¶÷,"¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¾î¿ï¸¶´ç·Î5±æ 42, »ó»óÇÏ´Â »ç¶÷ 2Ãþ (¼­±³µ¿)","¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¾î¿ï¸¶´ç·Î5±æ 42, »ó»óÇÏ´Â »ç¶÷ 2Ãþ (¼­±³µ¿)",0,,,2020
¿¡ÀÌºíÁü ½ÅÃÌÁ¡,2020-11-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ³ë°í»êµ¿ 1-39 ½ÅÃÌºôµù,"¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ½ÅÃÌ·Î 134, ½ÅÃÌºôµù ÁöÇÏ1Ãþ (³ë°í»êµ¿)","¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ½ÅÃÌ·Î 134, ½ÅÃÌºôµù ÁöÇÏ1Ãþ (³ë°í»êµ¿)",0,,,2020
FITNESS K,2020-11-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àü³óµ¿ 40,"¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ »ç°¡Á¤·Î 136, 3Ãþ (Àü³óµ¿)","¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ »ç°¡Á¤·Î 136, 3Ãþ (Àü³óµ¿)",0,,,2020
ÅäÅ»ÄÉ¾î ÄÄÆÛ´Ï,2020-11-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇöµ¿ 241-1 °­³²ÆÄ¶ó°ï,"¼­¿ïÆ¯º°½Ã °­³²±¸ ÇÐµ¿·Î 338, ÁöÇÏ2ÃþÃþ (³íÇöµ¿, °­³²ÆÄ¶ó°ï)","¼­¿ïÆ¯º°½Ã °­³²±¸ ÇÐµ¿·Î 338, ÁöÇÏ2ÃþÃþ (³íÇöµ¿, °­³²ÆÄ¶ó°ï)",0,,,2020
¸ð¾îÇÇÅ¬,2020-11-03,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÇÑ°­·Î3°¡ 63-70,"¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ¼­ºù°í·Î 17, 2Ãþ 57,58,59È£ (ÇÑ°­·Î3°¡)","¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ¼­ºù°í·Î 17, 2Ãþ 57,58,59È£ (ÇÑ°­·Î3°¡)",0,,,2020
À§Å©·Î½ºÇÍ,2020-11-04,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1575-2 ¼­¿ëºôµù,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊÁß¾Ó·Î 115, ¼­¿ëºôµù ÁöÃþ (¼­ÃÊµ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊÁß¾Ó·Î 115, ¼­¿ëºôµù ÁöÃþ (¼­ÃÊµ¿)",0,,,2020
Å©·Î½ºÇÍ ÆÄ¹«Áü,2020-11-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß¶û±¸ ¹¬µ¿ 378 ¹¬µ¿ÇÑ±¹¾ÆÆÄÆ®,"¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶ûÃµ·Î 332, »ó°¡µ¿ 1, ÁöÇÏ1Ãþ 101, B01È£ (¹¬µ¿, ¹¬µ¿ÇÑ±¹¾ÆÆÄÆ®)","¼­¿ïÆ¯º°½Ã Áß¶û±¸ Áß¶ûÃµ·Î 332, »ó°¡µ¿ 1, ÁöÇÏ1Ãþ 101, B01È£ (¹¬µ¿, ¹¬µ¿ÇÑ±¹¾ÆÆÄÆ®)",0,,,2020
ºø¹ÌPT,2020-11-03,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¼­±³µ¿ 351-1,"¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¿ùµåÄÅºÏ·Î 9-1, 4Ãþ (¼­±³µ¿)","¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¿ùµåÄÅºÏ·Î 9-1, 4Ãþ (¼­±³µ¿)",0,,,2020
¾î´º¹Ùµð PT&Pilates,2020-11-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ È­°îµ¿ 1077-4,"¼­¿ïÆ¯º°½Ã °­¼­±¸ °­¼­·Î 153, 3Ãþ (È­°îµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ °­¼­·Î 153, 3Ãþ (È­°îµ¿)",0,,,2020
(ÁÖ)ºñ½ºÄÚ Çï½ºÄÉ¾î,2020-11-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 546-4 12Ãþ 001È£,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤³ª·ç·Î56±æ 85, Å×Å©³ë-¸¶Æ®21 12Ãþ 001È£ (±¸ÀÇµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤³ª·ç·Î56±æ 85, Å×Å©³ë-¸¶Æ®21 12Ãþ 001È£ (±¸ÀÇµ¿)",0,,,2020
ÇÇÅ©´ÐÁü,2020-11-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹æÀÌµ¿ 124-21 INGÆÄÅ©ºä,"¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ °¡¶ô·Î 241, INGÆÄÅ©ºä 2Ãþ (¹æÀÌµ¿)","¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ °¡¶ô·Î 241, INGÆÄÅ©ºä 2Ãþ (¹æÀÌµ¿)",0,,,2020
Å©·Î½ºÇÍ »ï¼Õ,2020-11-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã Áß±¸ ¼öÇ¥µ¿ 56-1 °­³²ºôµù,"¼­¿ïÆ¯º°½Ã Áß±¸ ¼öÇ¥·Î 65, °­³²ºôµù ÁöÇÏÃþ (¼öÇ¥µ¿)","¼­¿ïÆ¯º°½Ã Áß±¸ ¼öÇ¥·Î 65, °­³²ºôµù ÁöÇÏÃþ (¼öÇ¥µ¿)",0,,,2020
´õ ½ºÅÄ´Ùµå Áü,2020-11-11,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ °í´öµ¿ 501-5 °í´öÅ©¸®´Ð,"¼­¿ïÆ¯º°½Ã °­µ¿±¸ µ¿³²·Î81±æ 8, °í´öÅ©¸®´Ð 5Ãþ (°í´öµ¿)","¼­¿ïÆ¯º°½Ã °­µ¿±¸ µ¿³²·Î81±æ 8, °í´öÅ©¸®´Ð 5Ãþ (°í´öµ¿)",0,,,2020
¾Æ¹ÌÄÚ½º ÇÇÆ®´Ï½º,2020-11-17,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ ¹®Á¤µ¿ 81-6,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ »õ¸»·Î10±æ 5 (¹®Á¤µ¿),¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ »õ¸»·Î10±æ 5 (¹®Á¤µ¿),0,,,2020
ÆÀ¿¢½ºÇÍ °³ºÀ,2020-11-13,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¸·Î±¸ °³ºÀµ¿ 202-17 Áø¿µºôµù 5Ãþ,"¼­¿ïÆ¯º°½Ã ±¸·Î±¸ ³²ºÎ¼øÈ¯·Î97±æ 12, Áø¿µºôµù 5Ãþ (°³ºÀµ¿)","¼­¿ïÆ¯º°½Ã ±¸·Î±¸ ³²ºÎ¼øÈ¯·Î97±æ 12, Áø¿µºôµù 5Ãþ (°³ºÀµ¿)",0,,,2020
¿ÂÀ¯¾îÁü PT studio ¾Ð±¸Á¤,2020-11-12,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ½Å»çµ¿ 613-3,"¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î176±æ 20, ÁöÇÏ1Ãþ (½Å»çµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇö·Î176±æ 20, ÁöÇÏ1Ãþ (½Å»çµ¿)",0,,,2020
¾÷Åõ »óÀÏµ¿¿ªÁ¡,2020-11-18,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ °í´öµ¿ 210-5,"¼­¿ïÆ¯º°½Ã °­µ¿±¸ °í´ö·Î 391, Á¾Á¡ºôµù -2Ãþ (°í´öµ¿)","¼­¿ïÆ¯º°½Ã °­µ¿±¸ °í´ö·Î 391, Á¾Á¡ºôµù -2Ãþ (°í´öµ¿)",0,,,2020
µå¸²ÇÍÆÛ½º³ÎÆ®·¹ÀÌ´×¼¾ÅÍ,2020-11-12,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ ±æµ¿ 252-3,"¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¸íÀÏ·Î 189, ÃÊ¿ìºôµù 6Ãþ (±æµ¿)","¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¸íÀÏ·Î 189, ÃÊ¿ìºôµù 6Ãþ (±æµ¿)",0,,,2020
¿¡ÀÌºíÁü ÀÀ¾ÏÁ¡,2020-11-17,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀÀ¾Ïµ¿ 110-1,"¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀºÆò·Î 116, À§»êÀÏ¸®¿Â½ÃÆ¼ ÁöÇÏ1Ãþ, ÁöÇÏ2Ãþ (ÀÀ¾Ïµ¿)","¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÀºÆò·Î 116, À§»êÀÏ¸®¿Â½ÃÆ¼ ÁöÇÏ1Ãþ, ÁöÇÏ2Ãþ (ÀÀ¾Ïµ¿)",0,,,2020
¿¡ÀÌÅõÁü,2020-11-11,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 657-5 ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î 65, ÁöÇÏ1Ãþ (ÀÚ¾çµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î 65, ÁöÇÏ1Ãþ (ÀÚ¾çµ¿)",0,,,2020
¿øÇÈ,2022-10-12,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ µîÃÌµ¿ 674-3 ¿¬ÁØºôµù,"¼­¿ïÆ¯º°½Ã °­¼­±¸ °­¼­·Î56±æ 16, ¿¬ÁØºôµù 4Ãþ (µîÃÌµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ °­¼­·Î56±æ 16, ¿¬ÁØºôµù 4Ãþ (µîÃÌµ¿)",0,,,2022
ÅÙ¼¼±×¸®Æ¼,2022-11-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÈÄ¾Ïµ¿ 358-17 ´ë¿øÁ¤»ç º»°ü 201È£,"¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ µÎÅÓ¹ÙÀ§·Î60±æ 49, ´ë¿øÁ¤»ç º»°ü 201È£ (ÈÄ¾Ïµ¿)","¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ µÎÅÓ¹ÙÀ§·Î60±æ 49, ´ë¿øÁ¤»ç º»°ü 201È£ (ÈÄ¾Ïµ¿)",0,,,2022
ÇÊÁü,2022-11-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ªµ¿ 208-5,"¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ª·Î 198, 2Ãþ (°ø¸ªµ¿)","¼­¿ïÆ¯º°½Ã ³ë¿ø±¸ °ø¸ª·Î 198, 2Ãþ (°ø¸ªµ¿)",0,,,2022
¸¶ÀÌÆ¼ÇÍ,2022-11-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ »ï¼ºµ¿ 144 ÃµÇØºôµù,"¼­¿ïÆ¯º°½Ã °­³²±¸ »ï¼º·Î95±æ 15, ÃµÇØºôµù ÁöÇÏ1Ãþ (»ï¼ºµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ »ï¼º·Î95±æ 15, ÃµÇØºôµù ÁöÇÏ1Ãþ (»ï¼ºµ¿)",0,,,2022
PeTer Gym Studio,2022-10-13,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¾çÃµ±¸ ½ÅÁ¤µ¿ 952-6 ÆòÈ­ºôµù,"¼­¿ïÆ¯º°½Ã ¾çÃµ±¸ ¿À¸ñ·Î 180, ÆòÈ­ºôµù 3Ãþ (½ÅÁ¤µ¿)","¼­¿ïÆ¯º°½Ã ¾çÃµ±¸ ¿À¸ñ·Î 180, ÆòÈ­ºôµù 3Ãþ (½ÅÁ¤µ¿)",0,,,2022
ÇØºø Æ®·¹ÀÌ´×,2022-10-12,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¿µµîÆ÷µ¿7°¡ 94-49 ÀÎµû¸£½Ã¾Æ»ç¿Á ÁöÇÏ 2Ãþ,"¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¹öµå³ª·ç·Î 88, ÀÎµû¸£½Ã¾Æ»ç¿Á ÁöÇÏ 2Ãþ (¿µµîÆ÷µ¿7°¡)","¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¹öµå³ª·ç·Î 88, ÀÎµû¸£½Ã¾Æ»ç¿Á ÁöÇÏ 2Ãþ (¿µµîÆ÷µ¿7°¡)",0,,,2022
¿îµ¿ÇØ¾ßÁü,2022-10-27,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ºÀÃµµ¿ 463-3,"¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¾ç³ç·Î 50, 3Ãþ (ºÀÃµµ¿)","¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ¾ç³ç·Î 50, 3Ãþ (ºÀÃµµ¿)",0,,,2022
D-GYM,2022-10-12,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ½Å±æµ¿ 480-1 ÁöÃþ,"¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ´ë¹æÃµ·Î 257, ÁöÃþ (½Å±æµ¿)","¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ´ë¹æÃµ·Î 257, ÁöÃþ (½Å±æµ¿)",0,,,2022
ÅÍÄ¡¾Ø°í Æ®·¹ÀÌ´× ½ºÆ©µð¿À,2022-10-11,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¸·Î±¸ ¿À·ùµ¿ 54-4,"¼­¿ïÆ¯º°½Ã ±¸·Î±¸ °æÀÎ·Î 204, ÁöÇÏ1Ãþ (¿À·ùµ¿)","¼­¿ïÆ¯º°½Ã ±¸·Î±¸ °æÀÎ·Î 204, ÁöÇÏ1Ãþ (¿À·ùµ¿)",0,,,2022
ÁÖ½ÄÈ¸»çÁßÆò¾Ë¾Ø¿¡½º,2022-09-29,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¿ì¸éµ¿ 64-1 ÁßÆòºôµù,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹Ù¿ì¸þ·Î7±æ 3, ÁßÆòºôµù ÁöÇÏ1Ãþ (¿ì¸éµ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹Ù¿ì¸þ·Î7±æ 3, ÁßÆòºôµù ÁöÇÏ1Ãþ (¿ì¸éµ¿)",0,,,2022
ÇÇÆ¼½ºÅ×ÀÌ¼Ç,2022-09-29,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ´ëÁ¶µ¿ 9-14 ÁÖÁÖº£¿¡ÀÌ,"¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÅëÀÏ·Î67±æ 9, B1Ãþ (´ëÁ¶µ¿, ÁÖÁÖº£¿¡ÀÌ)","¼­¿ïÆ¯º°½Ã ÀºÆò±¸ ÅëÀÏ·Î67±æ 9, B1Ãþ (´ëÁ¶µ¿, ÁÖÁÖº£¿¡ÀÌ)",0,,,2022
¸®ÇÁÆ®Áü,2022-10-31,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ ¸¶°îµ¿ 799-1 ·Îµ©Å¸¿ö,"¼­¿ïÆ¯º°½Ã °­¼­±¸ °øÇ×´ë·Î 186, ·Îµ©Å¸¿ö 3Ãþ 311È£ (¸¶°îµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ °øÇ×´ë·Î 186, ·Îµ©Å¸¿ö 3Ãþ 311È£ (¸¶°îµ¿)",0,,,2022
¿ì¸²Çï½ºÅ¬·´,2022-10-31,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¾çÆòµ¿3°¡ 16 ¾çÆòµ¿¿ì¸² ÀÌ ºñÁö¼¾Å¸ ÁöÇÏ1Ãþ B123È£,"¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¾ç»ê·Î 43, ¾çÆòµ¿¿ì¸² ÀÌ ºñÁö¼¾Å¸ ÁöÇÏ1Ãþ B123È£ (¾çÆòµ¿3°¡)","¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¾ç»ê·Î 43, ¾çÆòµ¿¿ì¸² ÀÌ ºñÁö¼¾Å¸ ÁöÇÏ1Ãþ B123È£ (¾çÆòµ¿3°¡)",0,,,2022
¼Ò¿ïÇÍ 2È£Á¡,2022-09-28,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àå¾Èµ¿ 337-11 ¸®´õ½ººôµù,"¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ ´ä½Ê¸®·Î72±æ 18, ¸®´õ½ººôµù 4Ãþ (Àå¾Èµ¿)","¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ ´ä½Ê¸®·Î72±æ 18, ¸®´õ½ººôµù 4Ãþ (Àå¾Èµ¿)",0,,,2022
¿¡ÀÌºíÁü ¿ëµÎ¿ªÁ¡,2022-11-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ ¿ëµÎµ¿ 29-4 È­¼ººôµù,"¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ °í»êÀÚ·Î 406, È­¼ººôµù ÁöÇÏ1Ãþ (¿ëµÎµ¿)","¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ °í»êÀÚ·Î 406, È­¼ººôµù ÁöÇÏ1Ãþ (¿ëµÎµ¿)",0,,,2022
¿ö³ÊÁü PT °¡¾çÁ¡,2022-09-14,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ °¡¾çµ¿ 14-51 ÅäÇÇ¾Æºôµù 502È£,"¼­¿ïÆ¯º°½Ã °­¼­±¸ È­°î·Î 429, ÅäÇÇ¾Æºôµù 502È£ (°¡¾çµ¿)","¼­¿ïÆ¯º°½Ã °­¼­±¸ È­°î·Î 429, ÅäÇÇ¾Æºôµù 502È£ (°¡¾çµ¿)",0,,,2022
DOUM PT,2022-09-14,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹ÝÆ÷µ¿ 742-18 ¿¬¿ìºôµù,"¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ÁÖÈï3±æ 6, ¿¬¿ìºôµù 3Ãþ (¹ÝÆ÷µ¿)","¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ÁÖÈï3±æ 6, ¿¬¿ìºôµù 3Ãþ (¹ÝÆ÷µ¿)",0,,,2022
¶óÀÌÇÁÁü ¼­¿ø¿ªÁ¡,2022-09-28,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 409-83,"¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 257, 3Ãþ (½Å¸²µ¿)","¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î 257, 3Ãþ (½Å¸²µ¿)",0,,,2022
ÆúÀÎÇÍ ½Å¸²Á¡,2022-09-29,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²µ¿ 1432-64,"¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î67±æ 9, 3Ãþ (½Å¸²µ¿)","¼­¿ïÆ¯º°½Ã °ü¾Ç±¸ ½Å¸²·Î67±æ 9, 3Ãþ (½Å¸²µ¿)",0,,,2022
Æ÷ÅÙPT,2022-09-29,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇöµ¿ 141-10 ½ºÄ«ÀÌ ºôµù,"¼­¿ïÆ¯º°½Ã °­³²±¸ ÇÐµ¿·Î4±æ 18, ½ºÄ«ÀÌ ºôµù ÁöÇÏ1Ãþ (³íÇöµ¿)","¼­¿ïÆ¯º°½Ã °­³²±¸ ÇÐµ¿·Î4±æ 18, ½ºÄ«ÀÌ ºôµù ÁöÇÏ1Ãþ (³íÇöµ¿)",0,,,2022
ÁöÇÍ ÁöÅ¸¿öÇÇÆ®´Ï½º(G-Fit G-Tower Fitness),2022-09-28,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¸·Î±¸ ±¸·Îµ¿ 832 G-Tower,"¼­¿ïÆ¯º°½Ã ±¸·Î±¸ µðÁöÅÐ·Î26±æ 38, G-Tower ÁöÇÏ1Ãþ (±¸·Îµ¿)","¼­¿ïÆ¯º°½Ã ±¸·Î±¸ µðÁöÅÐ·Î26±æ 38, G-Tower ÁöÇÏ1Ãþ (±¸·Îµ¿)",0,,,2022
¿¡ÀÌ¿ø ÈÖÆ®´Ï½º,2022-10-07,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µµºÀ±¸ µµºÀµ¿ 562-13,"¼­¿ïÆ¯º°½Ã µµºÀ±¸ µµºÀ·Î 885, 2Ãþ (µµºÀµ¿)","¼­¿ïÆ¯º°½Ã µµºÀ±¸ µµºÀ·Î 885, 2Ãþ (µµºÀµ¿)",0,,,2022
ÁÖ½ÄÈ¸»ç ÀÌÅÂ¿øÁü ¼­´ë¹®±¸Ã»Á¡,2022-09-16,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ È«Àºµ¿ 426 ¿¬Èñ127ºôµù,"¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ¿¬Èñ·Î 286, ¿¬Èñ127ºôµù 2Ãþ (È«Àºµ¿)","¼­¿ïÆ¯º°½Ã ¼­´ë¹®±¸ ¿¬Èñ·Î 286, ¿¬Èñ127ºôµù 2Ãþ (È«Àºµ¿)",0,,,2022
